SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CHNG,%CHNG,VOLUME (shares),VALUE,52W H,52W L,30 D   %CHNG,365 D % CHNG  05-Aug-2022
SHREECEM,24350.0,24372.0,24012.0,24270.05,24189.15,-80.9,-0.33,30445,735302768.8,27049.0,20150.0,1.62,14.51
CIPLA,1270.0,1271.65,1252.25,1266.45,1262.1,-4.35,-0.34,2105178,2659260849.6,1271.65,852.0,24.08,23.01
MCDOWELL-N,1022.25,1024.0,1008.15,1019.65,1016.1,-3.55,-0.35,428259,434901297.09,1049.0,730.55,11.48,30.54
BHARTIARTL,885.0,897.45,878.8,885.4,882.05,-3.35,-0.38,3185159,2832689305.06,901.4,686.2,1.72,25.7
INDUSTOWER,171.9,172.1,169.6,172.05,171.25,-0.8,-0.46,2828155,483982165.15,208.0,135.15,5.29,-13.87
HINDUNILVR,2565.85,2568.95,2541.0,2565.85,2553.35,-12.5,-0.49,1212549,3089974993.17,2769.65,2393.0,-4.9,-3.19
DLF,488.3,489.7,483.1,488.25,485.85,-2.4,-0.49,2944921,1430819317.06,521.75,336.5,-2.9,31.85
DMART,3648.45,3659.95,3615.35,3648.45,3630.0,-18.45,-0.51,257378,934729977.72,4609.0,3292.0,-4.21,-14.16
BANKBARODA,195.0,195.55,192.35,194.85,193.8,-1.05,-0.54,18258446,3537026159.12,210.8,116.5,-6.77,64.78
ICICIPRULI,582.0,586.2,569.0,581.15,578.0,-3.15,-0.54,907531,522674328.83,615.6,380.7,1.37,1.98
MUTHOOTFIN,1370.0,1370.0,1346.05,1365.1,1357.0,-8.1,-0.59,229326,310794061.5,1371.75,911.25,7.64,21.57
NAUKRI,4739.0,4766.4,4680.05,4714.9,4686.45,-28.45,-0.6,221949,1045788176.16,4984.5,3308.2,7.04,10.5
COLPAL,1977.85,1994.35,1962.05,1977.0,1964.9,-12.1,-0.61,257110,506614686.2,2062.1,1434.6,11.81,23.78
ASIANPAINT,3332.55,3356.95,3303.0,3348.05,3325.2,-22.85,-0.68,643222,2139324210.9,3582.9,2685.85,0.13,-3.19
AMBUJACEM,466.2,466.75,460.5,466.2,463.0,-3.2,-0.69,2483919,1148365432.08,598.0,315.3,11.56,22.62
ACC,2000.95,2009.0,1975.9,2000.95,1986.95,-14.0,-0.7,187614,373154865.3,2785.0,1592.35,11.69,-10.05
PAGEIND,39200.0,39650.0,38894.6,39189.65,38905.0,-284.65,-0.73,18926,742120823.46,54349.1,34952.65,7.19,-19.41
BAJFINANCE,7200.0,7214.0,7090.0,7173.6,7120.0,-53.6,-0.75,511572,3646971209.4,7999.9,5485.7,-5.89,-2.3
PIDILITIND,2619.9,2625.0,2595.1,2623.8,2603.95,-19.85,-0.76,244304,636240907.2,2918.95,2250.05,0.42,-0.96
MARUTI,9540.0,9540.05,9417.5,9542.55,9468.0,-74.55,-0.78,404602,3827838371.5,10036.95,8076.05,-3.12,6.96
HAVELLS,1332.0,1332.85,1309.4,1323.55,1313.0,-10.55,-0.8,528665,696494990.9,1408.3,1024.5,3.05,1.43
ATGL,653.9,657.85,643.85,652.35,647.0,-5.35,-0.82,471298,305306844.4,4000.0,620.05,1.41,-80.61
CANBK,338.3,339.35,332.0,338.75,335.7,-3.05,-0.9,7294768,2442580117.12,351.4,207.5,1.51,50.52
APOLLOHOSP,5023.35,5026.0,4958.0,5023.35,4975.05,-48.3,-0.96,268668,1339659248.4,5364.0,3987.85,-2.39,13.46
BERGEPAINT,718.0,721.3,686.75,709.3,702.0,-7.3,-1.03,2662399,1867699522.49,722.5,527.15,5.42,5.14
SBICARD,884.0,884.0,869.35,881.25,871.7,-9.55,-1.08,456756,398761690.68,1028.65,695.55,5.32,-3.81
PGHH,15665.0,15739.95,15462.4,15679.05,15492.45,-186.6,-1.19,3555,55180070.1,16100.0,13140.1,5.08,7.55
ADANIGREEN,994.9,1003.0,960.1,984.3,971.0,-13.3,-1.35,1692921,1654254684.36,2572.0,439.1,3.5,-54.54
SIEMENS,3799.9,3800.0,3678.65,3779.35,3728.0,-51.35,-1.36,857170,3189263847.3,4068.85,2672.0,2.41,34.56
ADANITRANS,821.25,825.25,810.0,823.6,812.0,-11.6,-1.41,6911943,5640283726.86,4236.75,631.5,8.39,-76.11
ICICIGI,1410.0,1410.0,1386.5,1415.9,1392.1,-23.8,-1.68,404048,564248991.52,1423.3,1049.05,5.85,16.62
DIVISLAB,3860.0,3860.0,3715.0,3846.4,3743.7,-102.7,-2.67,749561,2815141238.92,3973.9,2730.0,4.85,-2.32
AWL,375.25,384.8,375.25,392.95,377.7,-15.25,-3.88,5535060,2098950102.6,841.7,327.25,-2.71,0.0
